uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
title:lost in translation skills policy and the shift to skill ecosystems,Lost in translation? Skills policy and the shift to skill ecosystems,This chapter strarts by outlining the shift in thinking from skill equilibria to skill ecosystems and indicate how the concept has been lost in its translation into policy initiatives. We then re-present the concept so that understanding of it and its relevance to the new economic thinking is clearer. The final section of the chapter uses skills to raise some broader issues about the implementation of the new economic thinking into policy.,2012,Strathprints: The University of Strathclyde institutional repository (University of Strathclyde),Pauline Anderson; Chris Warhurst,,,https://openalex.org/W161294835,openalex,energy based policy robotics,concept,ebm,,11,,2026-06-12T18:43:24Z,21.292,21.292
doi:10.1007/s10015-024-00979-y,Evaluating how psychological senses and physical motions are affected by avatar shapes in a non-immersive environment,,2025,Artificial Life and Robotics,Yuki Kida; Tetsuro Ogi,10.1007/s10015-024-00979-y,,https://doi.org/10.1007/s10015-024-00979-y,crossref,robotics,concept,crossref_bulk_robotics,,,,2026-06-12T19:29:26Z,20.600,20.600
doi:10.1186/s12984-019-0587-8,Learning and transfer of complex motor skills in virtual reality: a perspective review,"The development of more effective rehabilitative interventions requires a better understanding of how humans learn and transfer motor skills in real-world contexts. Presently, clinicians design interventions to promote skill learning by relying on evidence from experimental paradigms involving simple tasks, such as reaching for a target. While these tasks facilitate stringent hypothesis testing in laboratory settings, the results may not shed light on performance of more complex real-world skills. In this perspective, we argue that virtual environments (VEs) are flexible, novel platforms to evaluate learning and transfer of complex skills without sacrificing experimental control. Specifically, VEs use models of real-life tasks that afford controlled experimental manipulations to measure and guide behavior with a precision that exceeds the capabilities of physical environments. This paper",2019,Journal of NeuroEngineering and Rehabilitation,Danielle Levac; Meghan E. Huber; Dagmar Sternad,10.1186/s12984-019-0587-8,,https://doi.org/10.1186/s12984-019-0587-8,openalex,energy based model robot learning,concept,ebm,,272,skill learning,2026-06-12T18:05:07Z,20.005,21.005
doi:10.1186/s12984-017-0247-9,Physical interface dynamics alter how robotic exosuits augment human movement: implications for optimizing wearable assistive devices,"BACKGROUND: Wearable assistive devices have demonstrated the potential to improve mobility outcomes for individuals with disabilities, and to augment healthy human performance; however, these benefits depend on how effectively power is transmitted from the device to the human user. Quantifying and understanding this power transmission is challenging due to complex human-device interface dynamics that occur as biological tissues and physical interface materials deform and displace under load, absorbing and returning power. METHODS: Here we introduce a new methodology for quickly estimating interface power dynamics during movement tasks using common motion capture and force measurements, and then apply this method to quantify how a soft robotic ankle exosuit interacts with and transfers power to the human body during walking. We partition exosuit end-effector power (i.e., power output from",2017,Journal of NeuroEngineering and Rehabilitation,Matthew B. Yandell; Brendan Quinlivan; Dmitry Popov; Conor J. Walsh; Karl E. Zelik,10.1186/s12984-017-0247-9,,https://doi.org/10.1186/s12984-017-0247-9,openalex,energy based policy robotics,concept,ebm,,152,,2026-06-12T18:05:07Z,19.965,19.965
doi:10.1016/j.promfg.2017.07.209,Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment,"The goal of this paper is to investigate the benefits of integrating collaborative robotic manipulators with autonomous mobile platforms for flexible part feeding processes in an Industry 4.0 production facility. The paper presents Little Helper 6 (LH6), consisting of a MiR100, UR5, a Robotiq 3-Finger Gripper and a task level software framework, called Skill Based System (SBS). The preliminary experiments performed with LH6, demonstrate that the capabilities of skill-based programming, 3D QR based calibration, part feeding, mapping and dynamic collision avoidance are successfully executed and strategies for further expansion of the operational capabilities of the system are discussed.",2017,Procedia Manufacturing,Rasmus Eckholdt Andersen; Emil Blixt Hansen; David Černý; Steffen Madsen; Biranavan Pulendralingam; Simon Bøgh; Dimitrios Chrysostomou,10.1016/j.promfg.2017.07.209,,https://doi.org/10.1016/j.promfg.2017.07.209,openalex,robotics,concept,openalex_bulk_robotics,,45,,2026-06-12T18:57:17Z,19.314,19.314
doi:10.5772/acrt.23,"How Hands-On Assessments Can Boost Retention, Satisfaction, Skill Development, and Career Outcomes in Online Courses","Hands-on assessments provide active opportunities for students to practice new skills they have just learned. Massive open online course (MOOC) platforms offer a uniquely large dataset to track the impact of hands-on assessments on learners’ skill development, satisfaction, and career trajectory. While existing MOOC literature explore enrollment and demographic data, few have investigated the outcomes for learners who engage with different types of assessments within these online courses. This article is important because it quantifies the learner impact of hands-on experiences in MOOCs. With innovative analytics and hundreds of millions of course enrollments, online course platforms can shed light on the influence of alternative teaching decisions and assessment types. MOOCs offer data to quantify individual learners’ skill development in different topics before averaging across all cou",2023,"AI, Computer Science and Robotics Technology",Alexandra Urban,10.5772/acrt.23,,https://doi.org/10.5772/acrt.23,crossref,robotics,concept,crossref_bulk_robotics,,6,,2026-06-12T19:29:26Z,19.223,19.223
doi:10.1007/s10514-015-9435-2,Adaptation of manipulation skills in physical contact with the environment to reference force profiles,,2015,Autonomous Robots,Fares J. Abu-Dakka; Bojan Nemec; Jimmy A. Jørgensen; Thiusius R. Savarimuthu; Norbert Krüger; Aleš Ude,10.1007/s10514-015-9435-2,,https://doi.org/10.1007/s10514-015-9435-2,crossref,robot world models manipulation,concept,world_models,,134,robot world model,2026-06-12T15:07:36Z,19.053,19.053
doi:10.1002/rcs.390,How to build patient‐specific synthetic abdominal anatomies. An innovative approach from physical toward hybrid surgical simulators,"Abstract Background According to literature evidence, simulation is of the utmost importance for training and innovative surgical strategies assessment. At present commercial physical simulators are limited to single or only a few anatomical structures and these are often just standard anatomies. Methods This paper describes a strategy to produce patient‐specific abdominal silicone organs with realistic shapes and colors, starting from radiological images. Synthetic organs can be assembled in a complex physical simulator or, if paired with electromagnetic sensors, in a hybrid environment (mixed reality) to quantify deformations caused by surgical action. Results A physical trunk phantom with liver, gallbladder, pancreas and a sensorized stomach has been developed. It is coupled with consistent radiological images and a 3D model of the entire upper abdomen. The simulator has been evaluate",2011,The International Journal of Medical Robotics and Computer Assisted Surgery,S. Condino; M. Carbone; V. Ferrari; L. Faggioni; A. Peri; M. Ferrari; F. Mosca,10.1002/rcs.390,,https://doi.org/10.1002/rcs.390,crossref,robotics,concept,crossref_bulk_robotics,,40,,2026-06-12T19:29:26Z,18.507,18.507
doi:10.18608/jla.2025.8837,Bridging Virtual and Physical,"Computational thinking (CT) is a critical 21st-century skill that equips undergraduate students to solve problems systematically and think algorithmically. A key component of CT is computational creativity, which enables students to generate novel solutions within programming constraints. Humanoid robots are increasingly explored as promising tools to enhance CT skills, fostering teamwork and creativity in collaborative settings. However, gaps remain in understanding how different learning modalities impact the development of these skills. This study examines the comparative effects of robot-guided and simulation-based collaborative learning on undergraduate students’ computational creativity and CT skills. The study involved 71 undergraduate students, divided into small groups and randomly assigned to begin with either a robot-guided or simulation-based modality, switching to the altern",2025,Journal of Learning Analytics,Maya Usher; Noga Reznik; Gilad Bronshtein; Dan Kohen-Vacs,10.18608/jla.2025.8837,,https://doi.org/10.18608/jla.2025.8837,crossref,energy based model robot learning,concept,ebm,,1,humanoid robot,2026-06-12T15:07:36Z,18.347,18.347
doi:10.3390/buildings11040151,"Differentiating Digital Twin from Digital Shadow: Elucidating a Paradigm Shift to Expedite a Smart, Sustainable Built Environment","Construction projects and cities account for over 50% of carbon emissions and energy consumption. Industry 4.0 and digital transformation may increase productivity and reduce energy consumption. A digital twin (DT) is a key enabler in implementing Industry 4.0 in the areas of construction and smart cities. It is an emerging technology that connects different objects by utilising the advanced Internet of Things (IoT). As a technology, it is in high demand in various industries, and its literature is growing exponentially. Previous digital modeling practices, the use of data acquisition tools, human–computer–machine interfaces, programmable cities, and infrastructure, as well as Building Information Modeling (BIM), have provided digital data for construction, monitoring, or controlling physical objects. However, a DT is supposed to offer much more than digital representation. Characteristi",2021,Buildings,Samad M. E. Sepasgozar,10.3390/buildings11040151,,https://doi.org/10.3390/buildings11040151,openalex,energy based model robot learning,concept,ebm,,342,,2026-06-12T18:26:24Z,18.119,18.119
doi:10.21125/edulearn.2022.2197,HOW CAN ROBOTICS AND PROGRAMMING AFFECT CHILDREN’S COMPUTATIONAL THINKING SKILLS THROUGH REAL LIFE SCENARIOS?,,2022,EDULEARN Proceedings EDULEARN22 Proceedings,Eftychia Xerou; Charoula Angeli,10.21125/edulearn.2022.2197,,https://doi.org/10.21125/edulearn.2022.2197,crossref,robotics,concept,crossref_bulk_robotics,,,,2026-06-12T19:29:26Z,18.000,18.000
doi:10.1109/tase.2017.2743000,Interface Design of a Physical Human–Robot Interaction System for Human Impedance Adaptive Skill Transfer,"It has been established that the transfer of human adaptive impedance is of great significance for physical human-robot interaction (pHRI). By processing the electromyography (EMG) signals collected from human muscles, the limb impedance could be extracted and transferred to robots. The existing impedance transfer interfaces rely only on visual feedback and, thus, may be insufficient for skill transfer in a sophisticated environment. In this paper, physical haptic feedback mechanism is introduced to result in muscle activity that would generate EMG signals in a natural manner, in order to achieve intuitive human impedance transfer through a designed coupling interface. Relevant processing methods are integrated into the system, including the spectral collaborative representation-based classifications method used for hand motion recognition; fast smooth envelop and dimensionality reductio",2017,IEEE Transactions on Automation Science and Engineering,Chenguang Yang; Chao Zeng; Peidong Liang; Zhijun Li; Ruifeng Li; Chun‐Yi Su,10.1109/tase.2017.2743000,,https://doi.org/10.1109/tase.2017.2743000,openalex,robotics,concept,openalex_bulk_robotics,,220,skill learning; human robot interaction,2026-06-12T18:57:17Z,17.799,17.799
doi:10.1136/bmjebm-2022-111952,Adapt or die: how the pandemic made the shift from EBM to EBM+ more urgent,"Evidence-based medicine (EBM’s) traditional methods, especially randomised controlled trials (RCTs) and meta-analyses, along with risk-of-bias tools and checklists, have contributed significantly to the science of COVID-19. But these methods and tools were designed primarily to answer simple, focused questions in a stable context where yesterday’s research can be mapped more or less unproblematically onto today’s clinical and policy questions. They have significant limitations when extended to complex questions about a novel pathogen causing chaos across multiple sectors in a fast-changing global context. Non-pharmaceutical interventions which combine material artefacts, human behaviour, organisational directives, occupational health and safety, and the built environment are a case in point: EBM’s experimental, intervention-focused, checklist-driven, effect-size-oriented and deductive ap",2022,BMJ Evidence-Based Medicine,Trisha Greenhalgh; David Fisman; Danielle J Cane; Matthew Oliver; Chandini Raina Macintyre,10.1136/bmjebm-2022-111952,,https://doi.org/10.1136/bmjebm-2022-111952,crossref,EBM transformer robotics,concept,architecture,,89,EBM transformer robotics; limitation,2026-06-12T14:45:03Z,17.600,18.600
doi:10.3390/s21237830,A Digital Twin Approach for the Improvement of an Autonomous Mobile Robots (AMR’s) Operating Environment—A Case Study,"The contemporary market creates a demand for continuous improvement of production, service, and management processes. Increasingly advanced IT technologies help designers to meet this demand, as they allow them to abandon classic design and design-testing methods in favor of techniques that do not require the use of real-life systems and thus significantly reduce the costs and time of implementing new solutions. This is particularly important when re-engineering production and logistics processes in existing production companies, where physical testing is often infeasible as it would require suspension of production for the testing period. In this article, we showed how the Digital Twin technology can be used to test the operating environment of an autonomous mobile robot (AMR). In particular, the concept of the Digital Twin was used to assess the correctness of the design assumptions ad",2021,Sensors,P. Stączek; Jakub Pizoń; Wojciech Danilczuk; Arkadiusz Gola,10.3390/s21237830,,https://doi.org/10.3390/s21237830,openalex,energy based model robot learning,concept,ebm,,89,,2026-06-12T18:05:07Z,17.500,17.500
doi:10.1016/j.techsoc.2025.103029,"Institutional adaptability, skill-bias technological shifts, and energy efficiency in global decarbonization pathways: Exploring the role of artificial intelligence patents","The catalytic role of artificial intelligence patents (AIP) in accelerating global decarbonization pathways—through structural reductions in CO 2 emissions—remains underexplored. Leveraging a panel of 29 countries (2005–2023), this study explores the effect of AIP on carbon mitigation. We find robust evidence that AIP drives significant emissions reductions, with results persisting across instrumental variable regressions, sensitivity analyses, and alternative model specifications. Mechanism tests reveal three decarbonization channels: AIP drives technological shift by favoring skilled labor and automating carbon-intensive routine tasks; institutional adaptability magnifies these decarbonization benefits; and AIP enhances systemic energy efficiency, evidenced by substantial reductions in both primary energy intensity and per capita CO 2 emissions. Heterogeneity tests demonstrate that AIP",2025,Technology in Society,Brahim Bergougui,10.1016/j.techsoc.2025.103029,,https://doi.org/10.1016/j.techsoc.2025.103029,openalex,energy based transformer robot policy,concept,ebm_transformer,,19,energy based transformer robot policy,2026-06-12T18:05:07Z,17.498,17.498
