split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,risk_upper,hazard_score,safety_utility,rows
combined_micro_shift,full_skill_half_life_scheduler_v5,0,0.82188,0.81905,0.82500,0.00625,0.00000,0.15937,0.56875,0.00000,1.10078,0.11792,0.29415,0.27867,0.15367,0.80227,320
combined_micro_shift,full_skill_half_life_scheduler_v5,1,0.81250,0.80952,0.85000,0.00000,0.00000,0.15937,0.58750,0.00000,1.09725,0.12626,0.29957,0.27623,0.15471,0.79888,320
combined_micro_shift,full_skill_half_life_scheduler_v5,2,0.78750,0.78571,0.78750,0.00313,0.00000,0.15937,0.57188,0.00000,1.09842,0.11945,0.31164,0.27708,0.15774,0.77097,320
combined_micro_shift,full_skill_half_life_scheduler_v5,3,0.84375,0.84286,0.83750,0.00313,0.00000,0.16250,0.56250,0.00000,1.09834,0.11897,0.28345,0.27701,0.15461,0.82723,320
combined_micro_shift,full_skill_half_life_scheduler_v5,4,0.80937,0.80635,0.81250,0.00000,0.00000,0.15937,0.57812,0.00000,1.09636,0.12795,0.30182,0.27786,0.15468,0.79588,320
combined_micro_shift,full_skill_half_life_scheduler_v5,5,0.82812,0.83016,0.83750,0.00313,0.00000,0.15625,0.56563,0.00000,1.09702,0.12940,0.28185,0.27547,0.15173,0.81179,320
combined_micro_shift,full_skill_half_life_scheduler_v5,6,0.85313,0.85238,0.86250,0.00000,0.00000,0.15625,0.55625,0.00000,1.09347,0.12890,0.27892,0.27448,0.15598,0.84004,320
combined_micro_shift,full_skill_half_life_scheduler_v5,7,0.80937,0.80952,0.77500,0.00000,0.00000,0.15625,0.57500,0.00000,1.09525,0.12414,0.30223,0.27793,0.15494,0.79604,320
combined_micro_shift,full_skill_half_life_scheduler_v5,8,0.82812,0.82698,0.85000,0.00000,0.00000,0.15937,0.55625,0.00000,1.09428,0.12015,0.29330,0.27682,0.15624,0.81493,320
combined_micro_shift,full_skill_half_life_scheduler_v5,9,0.81250,0.81270,0.78750,0.00625,0.00000,0.16250,0.57188,0.00000,1.10189,0.12435,0.29630,0.27866,0.15233,0.79274,320
combined_micro_shift,minus_per_skill_survival,0,0.81250,0.81111,0.77500,0.00313,0.00000,0.17813,0.56250,0.00000,1.10241,0.13077,0.29992,0.28081,0.15788,0.79541,320
combined_micro_shift,minus_per_skill_survival,1,0.87813,0.87619,0.85000,0.00000,0.00000,0.16875,0.57500,0.00000,1.09850,0.13448,0.26591,0.27967,0.16150,0.86434,320
combined_micro_shift,minus_per_skill_survival,2,0.80937,0.80794,0.81250,0.00000,0.00000,0.16875,0.58750,0.00000,1.09969,0.13324,0.30554,0.27878,0.16107,0.79542,320
combined_micro_shift,minus_per_skill_survival,3,0.80937,0.80794,0.80000,0.00000,0.00000,0.17500,0.55937,0.00000,1.09864,0.13251,0.30399,0.27957,0.15968,0.79557,320
combined_micro_shift,minus_per_skill_survival,4,0.79688,0.79683,0.78750,0.00313,0.00000,0.16875,0.55625,0.00000,1.09937,0.13933,0.31221,0.27979,0.15847,0.78021,320
combined_micro_shift,minus_per_skill_survival,5,0.81875,0.81587,0.83750,0.00625,0.00000,0.16562,0.57500,0.00000,1.10300,0.13548,0.29501,0.28023,0.16114,0.79883,320
combined_micro_shift,minus_per_skill_survival,6,0.83437,0.83492,0.80000,0.00000,0.00000,0.16562,0.56563,0.00000,1.09680,0.13798,0.28996,0.27623,0.15940,0.82082,320
combined_micro_shift,minus_per_skill_survival,7,0.80937,0.80952,0.75000,0.00313,0.00000,0.16875,0.57500,0.00000,1.10116,0.12747,0.30582,0.28049,0.16001,0.79246,320
combined_micro_shift,minus_per_skill_survival,8,0.76562,0.76508,0.76250,0.00625,0.00000,0.17188,0.55937,0.00000,1.10314,0.12955,0.32859,0.27764,0.15786,0.74569,320
combined_micro_shift,minus_per_skill_survival,9,0.80000,0.80159,0.80000,0.00000,0.00000,0.17188,0.57500,0.00000,1.09931,0.13953,0.30786,0.28266,0.16021,0.78610,320
