split,skill,seed,step,method,goal_success,unsafe_failure,stale_execution,refresh,probe,abstain,coverage,false_safe,total_cost,predicted_success,calibration_abs_error,true_success_probability,risk_upper,hazard_score,estimated_half_life,true_half_life,half_life_abs_relative_error,shift_norm,observed_norm,mode_signal,exec_age,failure_label,risk_budget
combined_micro_shift,pick_place,0,0,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.91353,0.91353,0.90860,0.15564,0.00000,22.63523,21.04502,0.07556,0.18107,0.12777,0.01372,0.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,1,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.88810,0.88810,0.88702,0.18309,0.03210,21.24406,21.76192,0.02380,0.16109,0.16129,0.04475,1.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,2,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.86195,0.86195,0.86114,0.20814,0.06575,20.38414,20.65687,0.01320,0.19247,0.18334,0.06880,2.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,3,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.83222,0.83222,0.83833,0.23589,0.10336,19.06044,20.56110,0.07299,0.19535,0.23529,0.06936,3.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,4,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.80867,0.80867,0.81423,0.24284,0.13503,19.11351,20.15584,0.05171,0.20783,0.25713,0.00000,4.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,5,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.77963,0.77963,0.80023,0.26753,0.17240,18.31481,21.29487,0.13994,0.17395,0.29205,0.00000,5.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,6,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.78293,0.78293,0.77151,0.24557,0.17341,21.83815,20.08283,0.08740,0.21013,0.15722,0.00000,6.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,7,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.76581,0.76581,0.74753,0.25563,0.19666,22.15706,19.64261,0.12801,0.22438,0.14713,0.00000,7.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,8,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.74885,0.74885,0.72117,0.26797,0.21953,22.37199,18.98484,0.17841,0.24690,0.13520,0.01525,8.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,9,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.67974,0.67974,0.71474,0.36727,0.30331,17.26118,20.25693,0.14789,0.20467,0.27311,0.20164,9.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,10,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.68165,0.68165,0.69431,0.33277,0.30451,19.08796,20.03982,0.04750,0.21150,0.24654,0.03361,10.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,11,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.64071,0.64071,0.67057,0.36812,0.35598,17.32795,19.51319,0.11199,0.22869,0.33965,0.00000,11.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,12,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.63925,0.63925,0.64485,0.36018,0.36037,18.61343,18.85563,0.01284,0.25151,0.27864,0.00000,12.00000,abstained_fixed_risk,0.02
