split,method,metric,mean,ci95,seeds,rows_per_seed
combined_micro_shift,bayesian_skill_survival,goal_success,0.82281,0.01092,10,320
combined_micro_shift,bayesian_skill_survival,success_auc,0.82317,0.01133,10,320
combined_micro_shift,bayesian_skill_survival,late_success,0.82625,0.02265,10,320
combined_micro_shift,bayesian_skill_survival,unsafe_failure,0.00313,0.00183,10,320
combined_micro_shift,bayesian_skill_survival,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,bayesian_skill_survival,refresh_rate,0.20531,0.00366,10,320
combined_micro_shift,bayesian_skill_survival,probe_rate,0.59813,0.01096,10,320
combined_micro_shift,bayesian_skill_survival,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,bayesian_skill_survival,total_cost,1.11286,0.00140,10,320
combined_micro_shift,bayesian_skill_survival,half_life_error,0.12409,0.00320,10,320
combined_micro_shift,bayesian_skill_survival,calibration_error,0.29913,0.00757,10,320
combined_micro_shift,bayesian_skill_survival,risk_upper,0.28511,0.00113,10,320
combined_micro_shift,bayesian_skill_survival,hazard_score,0.15911,0.00078,10,320
combined_micro_shift,bayesian_skill_survival,safety_utility,0.80426,0.01168,10,320
combined_micro_shift,conformal_risk_gate,goal_success,0.79281,0.01571,10,320
combined_micro_shift,conformal_risk_gate,success_auc,0.79460,0.01622,10,320
combined_micro_shift,conformal_risk_gate,late_success,0.78875,0.04698,10,320
combined_micro_shift,conformal_risk_gate,unsafe_failure,0.00500,0.00261,10,320
combined_micro_shift,conformal_risk_gate,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,conformal_risk_gate,refresh_rate,0.17125,0.00238,10,320
combined_micro_shift,conformal_risk_gate,probe_rate,0.53469,0.00906,10,320
combined_micro_shift,conformal_risk_gate,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,conformal_risk_gate,total_cost,1.09957,0.00255,10,320
combined_micro_shift,conformal_risk_gate,half_life_error,0.07416,0.00144,10,320
combined_micro_shift,conformal_risk_gate,calibration_error,0.32547,0.00861,10,320
combined_micro_shift,conformal_risk_gate,risk_upper,0.29808,0.00085,10,320
combined_micro_shift,conformal_risk_gate,hazard_score,0.15771,0.00083,10,320
combined_micro_shift,conformal_risk_gate,safety_utility,0.77447,0.01787,10,320
combined_micro_shift,cvar_lifetime_guard,goal_success,0.83375,0.01581,10,320
combined_micro_shift,cvar_lifetime_guard,success_auc,0.83270,0.01530,10,320
combined_micro_shift,cvar_lifetime_guard,late_success,0.82750,0.03159,10,320
combined_micro_shift,cvar_lifetime_guard,unsafe_failure,0.00188,0.00136,10,320
combined_micro_shift,cvar_lifetime_guard,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,cvar_lifetime_guard,refresh_rate,0.42875,0.01278,10,320
combined_micro_shift,cvar_lifetime_guard,probe_rate,0.55031,0.01407,10,320
combined_micro_shift,cvar_lifetime_guard,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,cvar_lifetime_guard,total_cost,1.16535,0.00247,10,320
combined_micro_shift,cvar_lifetime_guard,half_life_error,0.09532,0.00372,10,320
combined_micro_shift,cvar_lifetime_guard,calibration_error,0.28116,0.01058,10,320
combined_micro_shift,cvar_lifetime_guard,risk_upper,0.33185,0.00091,10,320
combined_micro_shift,cvar_lifetime_guard,hazard_score,0.10559,0.00067,10,320
combined_micro_shift,cvar_lifetime_guard,safety_utility,0.80895,0.01545,10,320
combined_micro_shift,domain_randomized_clone,goal_success,0.38375,0.01300,10,320
combined_micro_shift,domain_randomized_clone,success_auc,0.38175,0.01236,10,320
combined_micro_shift,domain_randomized_clone,late_success,0.16875,0.02950,10,320
combined_micro_shift,domain_randomized_clone,unsafe_failure,0.38500,0.01231,10,320
combined_micro_shift,domain_randomized_clone,stale_execution,0.75031,0.00392,10,320
combined_micro_shift,domain_randomized_clone,refresh_rate,0.00000,0.00000,10,320
combined_micro_shift,domain_randomized_clone,probe_rate,0.00000,0.00000,10,320
combined_micro_shift,domain_randomized_clone,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,domain_randomized_clone,total_cost,1.32725,0.01046,10,320
combined_micro_shift,domain_randomized_clone,half_life_error,0.65323,0.00660,10,320
combined_micro_shift,domain_randomized_clone,calibration_error,0.39614,0.00351,10,320
combined_micro_shift,domain_randomized_clone,risk_upper,0.40330,0.00126,10,320
combined_micro_shift,domain_randomized_clone,hazard_score,0.59076,0.00078,10,320
combined_micro_shift,domain_randomized_clone,safety_utility,-0.25597,0.02409,10,320
combined_micro_shift,ensemble_uncertainty_gate,goal_success,0.82281,0.01533,10,320
combined_micro_shift,ensemble_uncertainty_gate,success_auc,0.82222,0.01569,10,320
combined_micro_shift,ensemble_uncertainty_gate,late_success,0.80375,0.02660,10,320
combined_micro_shift,ensemble_uncertainty_gate,unsafe_failure,0.00406,0.00184,10,320
combined_micro_shift,ensemble_uncertainty_gate,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,ensemble_uncertainty_gate,refresh_rate,0.17094,0.00131,10,320
combined_micro_shift,ensemble_uncertainty_gate,probe_rate,0.55781,0.00838,10,320
combined_micro_shift,ensemble_uncertainty_gate,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,ensemble_uncertainty_gate,total_cost,1.10089,0.00170,10,320
combined_micro_shift,ensemble_uncertainty_gate,half_life_error,0.08364,0.00196,10,320
combined_micro_shift,ensemble_uncertainty_gate,calibration_error,0.30394,0.00849,10,320
combined_micro_shift,ensemble_uncertainty_gate,risk_upper,0.26886,0.00101,10,320
combined_micro_shift,ensemble_uncertainty_gate,hazard_score,0.15968,0.00092,10,320
combined_micro_shift,ensemble_uncertainty_gate,safety_utility,0.80511,0.01566,10,320
combined_micro_shift,fixed_interval_refresh,goal_success,0.62594,0.01740,10,320
combined_micro_shift,fixed_interval_refresh,success_auc,0.62460,0.01787,10,320
combined_micro_shift,fixed_interval_refresh,late_success,0.57500,0.03446,10,320
combined_micro_shift,fixed_interval_refresh,unsafe_failure,0.05531,0.01049,10,320
combined_micro_shift,fixed_interval_refresh,stale_execution,0.22969,0.00411,10,320
combined_micro_shift,fixed_interval_refresh,refresh_rate,0.04688,0.00000,10,320
combined_micro_shift,fixed_interval_refresh,probe_rate,0.00000,0.00000,10,320
combined_micro_shift,fixed_interval_refresh,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,fixed_interval_refresh,total_cost,1.05920,0.00892,10,320
combined_micro_shift,fixed_interval_refresh,half_life_error,0.53469,0.00552,10,320
combined_micro_shift,fixed_interval_refresh,calibration_error,0.41571,0.00660,10,320
combined_micro_shift,fixed_interval_refresh,risk_upper,0.25565,0.00100,10,320
combined_micro_shift,fixed_interval_refresh,hazard_score,0.27081,0.00000,10,320
combined_micro_shift,fixed_interval_refresh,safety_utility,0.49088,0.02252,10,320
combined_micro_shift,frozen_behavior_clone,goal_success,0.34000,0.01431,10,320
combined_micro_shift,frozen_behavior_clone,success_auc,0.33762,0.01453,10,320
combined_micro_shift,frozen_behavior_clone,late_success,0.11750,0.03103,10,320
combined_micro_shift,frozen_behavior_clone,unsafe_failure,0.43719,0.01185,10,320
combined_micro_shift,frozen_behavior_clone,stale_execution,0.75031,0.00392,10,320
combined_micro_shift,frozen_behavior_clone,refresh_rate,0.00000,0.00000,10,320
combined_micro_shift,frozen_behavior_clone,probe_rate,0.00000,0.00000,10,320
combined_micro_shift,frozen_behavior_clone,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,frozen_behavior_clone,total_cost,1.37161,0.01007,10,320
combined_micro_shift,frozen_behavior_clone,half_life_error,1.17342,0.00763,10,320
combined_micro_shift,frozen_behavior_clone,calibration_error,0.41722,0.00723,10,320
combined_micro_shift,frozen_behavior_clone,risk_upper,0.33144,0.00100,10,320
combined_micro_shift,frozen_behavior_clone,hazard_score,0.51301,0.00016,10,320
combined_micro_shift,frozen_behavior_clone,safety_utility,-0.35185,0.02161,10,320
combined_micro_shift,hazard_regression_refresh,goal_success,0.78469,0.01318,10,320
combined_micro_shift,hazard_regression_refresh,success_auc,0.78302,0.01308,10,320
combined_micro_shift,hazard_regression_refresh,late_success,0.77625,0.03255,10,320
combined_micro_shift,hazard_regression_refresh,unsafe_failure,0.00594,0.00232,10,320
combined_micro_shift,hazard_regression_refresh,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,hazard_regression_refresh,refresh_rate,0.14219,0.00102,10,320
combined_micro_shift,hazard_regression_refresh,probe_rate,0.05406,0.00895,10,320
combined_micro_shift,hazard_regression_refresh,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,hazard_regression_refresh,total_cost,1.04715,0.00232,10,320
combined_micro_shift,hazard_regression_refresh,half_life_error,0.19928,0.00396,10,320
combined_micro_shift,hazard_regression_refresh,calibration_error,0.32408,0.00729,10,320
combined_micro_shift,hazard_regression_refresh,risk_upper,0.25604,0.00108,10,320
combined_micro_shift,hazard_regression_refresh,hazard_score,0.16428,0.00086,10,320
combined_micro_shift,hazard_regression_refresh,safety_utility,0.77286,0.01334,10,320
combined_micro_shift,online_finetune,goal_success,0.62344,0.01898,10,320
combined_micro_shift,online_finetune,success_auc,0.62143,0.01961,10,320
combined_micro_shift,online_finetune,late_success,0.60875,0.02532,10,320
combined_micro_shift,online_finetune,unsafe_failure,0.07313,0.00843,10,320
