split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,rows
combined_micro_shift,frozen_behavior_clone,0,0.35069,0.35017,0.11111,0.45139,0.76736,0.00000,0.00000,0.00000,1.38368,1.22920,0.41289,288
combined_micro_shift,frozen_behavior_clone,1,0.30556,0.30488,0.12500,0.44097,0.77778,0.00000,0.00000,0.00000,1.37483,1.20309,0.41941,288
combined_micro_shift,frozen_behavior_clone,2,0.31944,0.32056,0.11111,0.43056,0.77778,0.00000,0.00000,0.00000,1.36597,1.20902,0.42454,288
combined_micro_shift,frozen_behavior_clone,3,0.38542,0.38502,0.19444,0.40278,0.77431,0.00000,0.00000,0.00000,1.34236,1.20945,0.42625,288
combined_micro_shift,frozen_behavior_clone,4,0.31597,0.31533,0.12500,0.44792,0.77083,0.00000,0.00000,0.00000,1.38073,1.21125,0.41470,288
combined_micro_shift,frozen_behavior_clone,5,0.36806,0.36760,0.18056,0.39931,0.75694,0.00000,0.00000,0.00000,1.33941,1.19069,0.41539,288
combined_micro_shift,frozen_behavior_clone,6,0.36806,0.36760,0.12500,0.43750,0.76389,0.00000,0.00000,0.00000,1.37187,1.20845,0.41110,288
combined_micro_shift,domain_randomized_clone,0,0.37153,0.37108,0.18056,0.39931,0.76736,0.00000,0.00000,0.00000,1.33941,0.68539,0.39324,288
combined_micro_shift,domain_randomized_clone,1,0.32292,0.32230,0.11111,0.44097,0.77778,0.00000,0.00000,0.00000,1.37483,0.67068,0.38146,288
combined_micro_shift,domain_randomized_clone,2,0.38542,0.38502,0.23611,0.37847,0.77778,0.00000,0.00000,0.00000,1.32170,0.68310,0.40309,288
combined_micro_shift,domain_randomized_clone,3,0.37500,0.37456,0.13889,0.38194,0.77431,0.00000,0.00000,0.00000,1.32465,0.68013,0.38675,288
combined_micro_shift,domain_randomized_clone,4,0.38542,0.38502,0.16667,0.39583,0.77083,0.00000,0.00000,0.00000,1.33646,0.68095,0.40265,288
combined_micro_shift,domain_randomized_clone,5,0.36111,0.36063,0.16667,0.38542,0.75694,0.00000,0.00000,0.00000,1.32760,0.66647,0.39765,288
combined_micro_shift,domain_randomized_clone,6,0.35069,0.35017,0.13889,0.41319,0.76389,0.00000,0.00000,0.00000,1.35122,0.67971,0.39828,288
combined_micro_shift,fixed_interval_refresh,0,0.62500,0.62369,0.51389,0.02431,0.26736,0.04167,0.00000,0.00000,1.03149,0.52863,0.40598,288
combined_micro_shift,fixed_interval_refresh,1,0.56597,0.56446,0.52778,0.05208,0.28472,0.04167,0.00000,0.00000,1.05510,0.50828,0.44463,288
combined_micro_shift,fixed_interval_refresh,2,0.58333,0.58362,0.50000,0.05903,0.27431,0.04167,0.00000,0.00000,1.06101,0.50289,0.43131,288
combined_micro_shift,fixed_interval_refresh,3,0.60069,0.60279,0.51389,0.03472,0.25000,0.04167,0.00000,0.00000,1.04035,0.49435,0.42576,288
